keypoints,calibrated_keypoints,id,is_bad
"[array([277.39965125, 189.95819829]) array([431.28396589, 169.74934757])
 array([278.46585981, 265.41055338]) array([432.36479393, 238.86072043])
 array([273.19088416, 306.13837409]) array([648.75415213, 234.07736474])
 array([145.58131049, 288.33509542]) array([530.54960892, 221.92239366])
 array([252.42989518, 427.17516451]) None None
 array([700.79834788, 192.55197855]) None
 array([884.0599823 , 160.93664731]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([883.14290874, 314.69084393]) array([615.85619909, 339.2474672 ])
 array([901.5805371 , 270.11905564]) array([909.17163413, 305.6480691 ])
 array([845.2905504 , 323.41662244]) array([617.78825714, 282.97859255])
 array([771.05932418, 301.29585429]) None None None None None None None]","[array([277.39965125, 189.95819829]) array([431.28396589, 169.74934757])
 array([278.46585981, 265.41055338]) array([432.36479393, 238.86072043])
 array([273.19088416, 306.13837409]) array([648.75415213, 234.07736474])
 array([145.58131049, 288.33509542]) array([530.54960892, 221.92239366])
 array([252.42989518, 427.17516451]) None None
 array([700.79834788, 192.55197855]) None
 array([884.0599823 , 160.93664731]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([883.14290874, 314.69084393]) array([615.85619909, 339.2474672 ])
 array([901.5805371 , 270.11905564]) array([909.17163413, 305.6480691 ])
 array([845.2905504 , 323.41662244]) array([617.78825714, 282.97859255])
 array([771.05932418, 301.29585429]) None None None None None None None]",0,False
"[array([255.021417  , 191.83740725]) array([286.94767617, 147.75918828])
 array([258.89399425, 234.71613053]) array([290.67024124, 186.74014846])
 array([343.29479194, 281.59288949]) array([399.03110737, 160.53776531])
 array([229.90330755, 278.48645576]) array([309.2937091 , 158.62231689])
 array([558.85506785, 398.70312651]) array([588.05749458, 111.18663434])
 array([158.54513767, 386.2234796 ]) array([343.934655  , 106.32119398])
 None array([377.72407077,  55.30571674]) None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None
 array([645.39588349, 221.27452835]) array([571.55431892, 273.67091071])
 array([581.66333898, 174.14116909]) array([642.77813994, 210.61275635])
 array([643.19952013, 232.68377555]) array([475.33301115, 216.70793384])
 array([577.23161192, 219.44415478]) None None None None None None None]","[array([255.021417  , 191.83740725]) array([286.94767617, 147.75918828])
 array([258.89399425, 234.71613053]) array([290.67024124, 186.74014846])
 array([343.29479194, 281.59288949]) array([399.03110737, 160.53776531])
 array([229.90330755, 278.48645576]) array([309.2937091 , 158.62231689])
 array([558.85506785, 398.70312651]) array([588.05749458, 111.18663434])
 array([158.54513767, 386.2234796 ]) array([343.934655  , 106.32119398])
 None array([377.72407077,  55.30571674]) None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None
 array([645.39588349, 221.27452835]) array([571.55431892, 273.67091071])
 array([581.66333898, 174.14116909]) array([642.77813994, 210.61275635])
 array([643.19952013, 232.68377555]) array([475.33301115, 216.70793384])
 array([577.23161192, 219.44415478]) None None None None None None None]",1,False
"[array([210.28235792, 205.66938871]) array([376.62487355, 184.20823074])
 array([212.14797494, 288.29483436]) array([380.15155041, 258.85916489])
 array([205.61469727, 330.62859981]) array([611.15303612, 252.36430287])
 array([ 69.15515511, 313.34840462]) array([483.4630983 , 240.75809432])
 array([181.55532289, 463.61072343]) None None
 array([667.49915197, 208.51339696]) None
 array([857.88116535, 175.15683295]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([875.11952895, 334.15921419]) array([582.05018334, 363.68789417])
 array([875.91390609, 290.36936378]) array([903.19137905, 324.1369902 ])
 array([819.12578207, 346.83790095]) array([580.78953339, 303.13014683])
 array([750.08612352, 320.97785307]) None None None None None None None]","[array([210.28235792, 205.66938871]) array([376.62487355, 184.20823074])
 array([212.14797494, 288.29483436]) None
 array([205.61469727, 330.62859981]) array([611.15303612, 252.36430287])
 array([ 69.15515511, 313.34840462]) array([483.4630983 , 240.75809432])
 array([181.55532289, 463.61072343]) None None
 array([667.49915197, 208.51339696]) None
 array([857.88116535, 175.15683295]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([875.11952895, 334.15921419]) array([582.05018334, 363.68789417])
 array([875.91390609, 290.36936378]) array([903.19137905, 324.1369902 ])
 array([819.12578207, 346.83790095]) array([580.78953339, 303.13014683])
 array([750.08612352, 320.97785307]) None None None None None None None]",2,False
"[None None array([149.11678826, 326.82864261]) None
 array([844.53391552, 447.44441019]) array([615.97497861, 272.89498269])
 array([149.7988599 , 458.03180594]) array([148.86650846, 278.68487035])
 None None None array([148.53059845, 214.06928985]) None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None]","[None None array([149.11678826, 326.82864261]) None
 array([844.53391552, 447.44441019]) array([615.97497861, 272.89498269])
 array([149.7988599 , 458.03180594]) array([148.86650846, 278.68487035])
 None None None array([148.53059845, 214.06928985]) None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None]",3,False
"[array([242.5249958 , 158.93440758]) array([555.8175087 , 162.26720575])
 array([242.5249958 , 263.98840913]) array([555.8175087 , 266.19205273])
 None array([792.02625438, 300.37928409])
 array([  9.90891368, 262.35222914]) array([784.20641227, 267.7984995 ])
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None array([361.2623884 , 403.48198666])
 array([ 23.2911273 , 373.34376517]) array([711.98177479, 378.18611667])
 array([443.63959867, 402.67395373]) array([279.4563821 , 401.79326909])
 array([379.69827995, 336.01394217]) array([368.89054608, 375.56595774])
 None None None None None None None]","[array([242.5249958 , 158.93440758]) array([555.8175087 , 162.26720575])
 array([242.5249958 , 263.98840913]) array([555.8175087 , 266.19205273])
 None array([792.02625438, 300.37928409])
 array([  9.90891368, 262.35222914]) array([784.20641227, 267.7984995 ])
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None array([361.2623884 , 403.48198666])
 array([ 23.2911273 , 373.34376517]) array([711.98177479, 378.18611667])
 array([443.63959867, 402.67395373]) array([279.4563821 , 401.79326909])
 array([379.69827995, 336.01394217]) array([368.89054608, 375.56595774])
 None None None None None None None]",4,False
"[None array([562.45751381,  55.28929682]) None
 array([562.45751381, 520.53732854]) None None
 array([535.57780516, 178.44074657]) None None None
 array([522.39374162,  10.647891  ]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None]","[None array([562.45751381,  55.28929682]) None
 array([562.45751381, 520.53732854]) None None
 array([535.57780516, 178.44074657]) None None None
 array([522.39374162,  10.647891  ]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None]",5,False
"[None None None None array([842.5643473, 446.4492203])
 array([615.03281965, 272.9085808 ]) array([149.16087407, 458.04167508])
 array([146.84501935, 279.66590421]) None None None
 array([146.04367959, 217.94372562]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None]","[None None None None array([842.5643473, 446.4492203])
 array([615.03281965, 272.9085808 ]) array([149.16087407, 458.04167508])
 array([146.84501935, 279.66590421]) None None None
 array([146.04367959, 217.94372562]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None]",6,False
"[array([182.80298004, 184.61239635]) array([232.36759104, 118.21144472])
 array([187.59493449, 247.85374802]) array([236.41854333, 175.83405139])
 array([313.59841845, 319.98782323]) array([399.17806733, 139.69802246])
 array([142.34356068, 314.6040414 ]) array([264.20774217, 134.84220916])
 array([639.30720763, 499.54523146]) array([682.41984938,  65.56771727])
 array([ 31.36071442, 478.31481799]) array([317.11142771,  56.80399212])
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None array([767.50837804, 231.92030321])
 array([658.14289429, 309.94273574]) array([672.83158831, 162.0844125 ])
 array([766.77299761, 215.34057347]) array([767.52900488, 250.34076134])
 array([513.58126327, 223.38053437]) array([665.94925939, 228.50479007])
 None None None None None None None]","[array([182.80298004, 184.61239635]) array([232.36759104, 118.21144472])
 array([187.59493449, 247.85374802]) array([236.41854333, 175.83405139])
 array([313.59841845, 319.98782323]) array([399.17806733, 139.69802246])
 array([142.34356068, 314.6040414 ]) array([264.20774217, 134.84220916])
 array([639.30720763, 499.54523146]) array([682.41984938,  65.56771727])
 array([ 31.36071442, 478.31481799]) array([317.11142771,  56.80399212])
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None None array([658.14289429, 309.94273574])
 array([672.83158831, 162.0844125 ]) array([766.77299761, 215.34057347])
 array([767.52900488, 250.34076134]) None
 array([665.94925939, 228.50479007]) None None None None None None None]",7,False
"[array([212.89459773, 199.21463991]) array([262.72865931, 132.96977082])
 array([216.66869769, 262.05246642]) array([266.16497614, 189.69047013])
 array([338.95033698, 334.06039277]) array([424.28132568, 157.06158877])
 array([172.13223737, 327.1633652 ]) array([291.21499673, 153.06813096])
 array([658.24311415, 514.15328159]) array([701.79440443,  85.97461295])
 array([ 61.6118115 , 488.74073822]) array([343.86489933,  76.09563575])
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None array([788.83021382, 249.59834111])
 array([677.43363829, 325.47981115]) array([692.14882152, 180.8060822 ])
 array([784.87897094, 232.0839    ]) array([785.65323294, 267.07260617])
 array([534.81944678, 240.55974325]) array([686.60577742, 245.96083557])
 None None None None None None None]","[array([212.89459773, 199.21463991]) array([262.72865931, 132.96977082])
 array([216.66869769, 262.05246642]) array([266.16497614, 189.69047013])
 array([338.95033698, 334.06039277]) array([424.28132568, 157.06158877])
 array([172.13223737, 327.1633652 ]) array([291.21499673, 153.06813096])
 array([658.24311415, 514.15328159]) array([701.79440443,  85.97461295])
 array([ 61.6118115 , 488.74073822]) array([343.86489933,  76.09563575])
 None None None None None None None None None None None None None None
 None None None None None None None None None None None None None None
 None None None array([788.83021382, 249.59834111])
 array([677.43363829, 325.47981115]) array([692.14882152, 180.8060822 ])
 array([784.87897094, 232.0839    ]) array([785.65323294, 267.07260617])
 array([534.81944678, 240.55974325]) array([686.60577742, 245.96083557])
 None None None None None None None]",8,False
"[array([212.97694692, 200.62877228]) array([261.45056085, 136.14945718])
 array([217.58139566, 262.77696175]) array([265.53191458, 191.92607511])
 array([340.02315293, 333.14794757]) array([424.05047251, 157.44496448])
 array([173.86580129, 327.37039454]) array([293.1678053 , 151.09174412])
 array([658.39589201, 513.09347668]) array([702.56658298,  85.81460566])
 array([ 66.61632538, 485.84043055]) array([343.9395396 ,  76.07227671])
 None array([3.95404189e+02, 2.89697426e-02]) None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None
 array([789.0618336 , 250.82833416]) array([677.75218443, 325.85314631])
 array([692.70258588, 181.23257289]) array([784.88931055, 233.62572935])
 array([785.46741063, 266.84229127]) array([534.74516218, 239.99998653])
 array([686.37113865, 246.4559486 ]) None None None None None None None]","[array([212.97694692, 200.62877228]) array([261.45056085, 136.14945718])
 array([217.58139566, 262.77696175]) array([265.53191458, 191.92607511])
 array([340.02315293, 333.14794757]) array([424.05047251, 157.44496448])
 array([173.86580129, 327.37039454]) array([293.1678053 , 151.09174412])
 array([658.39589201, 513.09347668]) array([702.56658298,  85.81460566])
 array([ 66.61632538, 485.84043055]) array([343.9395396 ,  76.07227671])
 None array([3.95404189e+02, 2.89697426e-02]) None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None None
 array([789.0618336 , 250.82833416]) array([677.75218443, 325.85314631])
 array([692.70258588, 181.23257289]) array([784.88931055, 233.62572935])
 array([785.46741063, 266.84229127]) array([534.74516218, 239.99998653])
 array([686.37113865, 246.4559486 ]) None None None None None None None]",9,False
